"","Service Counter","Rooms","Online Devices","Online Devices %","Category","Content","Content Impression","Content Click","Content Impression Visitor","Content Click Visitor"
"34","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Advertising Banners","HS_1",1785,18,595,15
"29","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Advertising Banners","HS_2",1718,8,596,6
"8","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 景点推介：重庆拍照好去处",109,1,69,1
"12","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 重庆百科：中国最辣城市",64,0,33,0
"11","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 经典路线：重庆夜生活攻略",53,0,34,0
"20","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 小众重庆：文艺购物胜地",36,0,20,0
"10","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 经典路线：重庆必做五件事",35,0,21,0
"23","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 小眾重慶：找回老重慶風景",14,0,12,0
"24","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 修心静身之旅：在重庆体验慢生活",10,0,5,0
"2","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 景点推介：海棠烟雨公园",8,0,6,0
"30","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 小众重庆：小清新景点",8,0,7,0
"32","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 小众重庆：绝美校区景点",8,0,6,0
"4","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 必游景点：洪崖洞",7,1,7,1
"6","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 必游景点：磁器口古镇",7,0,4,0
"9","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 经典路线：在重庆看川剧",7,0,5,0
"13","CHN - ChongQing JinJiang Oriental Hotel",313,262,0.837060702875399,"Articles","Chongqing - 重庆地标：大金鹰雕塑",6,0,6,0
